﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Växjö Sol;64565;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Global Irradians (svenska stationer);medelvärde 1 timma, varje timme;watt per kvadratmeter
Solskenstid;summa 1 timme, 1 gång/tim;sekund
Långvågs-Irradians;medelvärde 1 timma, varje timme;watt per kvadratmeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1983-01-01 00:00:00;2025-04-02 08:20:20;182.0;56.9269;14.7305

Datum;Tid (UTC);Global Irradians (svenska stationer);Kvalitet;Solskenstid;Kvalitet;Långvågs-Irradians;Kvalitet;;Tidsutsnitt:
2015-01-17;16:00:00;0.47;G;0;G;;
2015-01-17;17:00:00;0.00;G;0;G;;
2015-01-17;18:00:00;0.00;G;0;G;;
2015-01-17;19:00:00;0.00;G;0;G;;
2015-01-17;20:00:00;0.00;G;0;G;;
2015-01-17;21:00:00;0.00;G;0;G;;
2015-01-17;22:00:00;0.00;G;0;G;;
2015-01-17;23:00:00;0.00;G;0;G;;
2015-01-18;00:00:00;0.00;G;0;G;;
2015-01-18;01:00:00;0.00;G;0;G;;
2015-01-18;02:00:00;0.00;G;0;G;;
2015-01-18;03:00:00;0.00;G;0;G;;
2015-01-18;04:00:00;0.00;G;0;G;;
2015-01-18;05:00:00;0.00;G;0;G;;
2015-01-18;06:00:00;0.00;G;0;G;;
2015-01-18;07:00:00;0.23;G;0;G;;
2015-01-18;08:00:00;4.70;G;0;G;;
2015-01-18;09:00:00;20.31;G;0;G;;
2015-01-18;10:00:00;24.63;G;0;G;;
2015-01-18;11:00:00;59.06;G;10;G;;
2015-01-18;12:00:00;29.64;G;0;G;;
2015-01-18;13:00:00;30.06;G;0;G;;
2015-01-18;14:00:00;34.43;G;0;G;;
2015-01-18;15:00:00;10.72;G;0;G;;
2015-01-18;16:00:00;0.95;G;0;G;;
2015-01-18;17:00:00;0.00;G;0;G;;
2015-01-18;18:00:00;0.00;G;0;G;;
2015-01-18;19:00:00;0.00;G;0;G;;
2015-01-18;20:00:00;0.00;G;0;G;;
2015-01-18;21:00:00;0.00;G;0;G;;
2015-01-18;22:00:00;0.00;G;0;G;;
